페이지,출제분야,과목명,문제,정답,문제해설,출제근거,문제해설
33,구급,119구급대원 현장응급처치 표준지침,급성 뇌졸중 의증 환자 설명 중 틀린 것은?,②,수축기 혈압 90mmHg 미만이면 변형 트렌델렌버그 자세를 취한다.,「119구급대원 현장응급처치 표준지침」 P.251~252,수축기 혈압 90mmHg 미만이면 변형 트렌델렌버그 자세를 취한다.
34,구급,119구급대원 현장응급처치 표준지침,일산화탄소 중독에 관한 사항 중 옳지 않은 것은?,②,일산화탄소 중독에는 고농도 산소 투여가 필요하다.,「119구급대원 현장응급처치 표준지침」 P.388,일산화탄소 중독에는 고농도 산소 투여가 필요하다.
35,구급,119구급대원 현장응급처치 표준지침,정량적 호기말 이산화탄소 감시 방법으로 옳지 않은 것은?,①,삽관 직후 환기 확인 후 장착한다.,「119구급대원 현장응급처치 표준지침」 P.515,삽관 직후 환기 확인 후 장착한다.
36,구급,119구급대원 현장응급처치 표준지침,발열 및 패혈증성 쇼크 환자 특징으로 틀린 것은?,①,SIRS는 2가지 이상 기준 충족 시 진단한다.,「119구급대원 현장응급처치 표준지침」 P.262,SIRS는 2가지 이상 기준 충족 시 진단한다.
37,구급,119구급대원 현장응급처치 표준지침,비외상성 쇼크 종류에 따른 특징으로 옳지 않은 것은?,④,패혈성 쇼크는 혈관 확장과 모세혈관 누출이 특징이다.,「119구급대원 현장응급처치 표준지침」 P.213,패혈성 쇼크는 혈관 확장과 모세혈관 누출이 특징이다.
38,구급,119구급대원 현장응급처치 표준지침,환자의 일차 평가 및 처치로 옳지 않은 것은?,②,호흡 소리 중 천명은 상기도 폐쇄를 의미한다.,「119구급대원 현장응급처치 표준지침」 P.441~452,호흡 소리 중 천명은 상기도 폐쇄를 의미한다.
39,구급,119구급대원 현장응급처치 표준지침,쇼크 발생 시 첫 번째 활력징후 변화는?,④,쇼크의 초기 변화는 맥박 상승이다.,「119구급대원 현장응급처치 표준지침」 P.213~215,쇼크의 초기 변화는 맥박 상승이다.
40,구급,119구급대원 현장응급처치 표준지침,중독물질 해독제로 적절하지 않은 것은?,②,아세트아미노펜 해독제는 NAC이다.,「119구급대원 현장응급처치 표준지침」 P.387~395,아세트아미노펜 해독제는 NAC이다.
41,구급,119구급대원 현장응급처치 표준지침,포도당 주사 적응증 및 투여방법으로 옳지 않은 것은?,④,소아 정맥투여는 10% 포도당을 사용한다.,「119구급대원 현장응급처치 표준지침」 P.529~530,소아 정맥투여는 10% 포도당을 사용한다.
42,구급,119구급대원 현장응급처치 표준지침,열사병의 임상적 특징으로 옳지 않은 것은?,③,탈수와 전해질 이상은 열탈진의 특징이다.,「119구급대원 현장응급처치 표준지침」 P.383~386,탈수와 전해질 이상은 열탈진의 특징이다.
43,구급,119구급대원 현장응급처치 표준지침,외상환자 손상기전 평가 중 틀린 것은?,③,고위험 교통사고는 45cm 이상 차체 변형이다.,「119구급대원 현장응급처치 표준지침」 P.111,고위험 교통사고는 45cm 이상 차체 변형이다.
44,구급,119구급대원 현장응급처치 표준지침,비외상성 쇼크 환자 설명으로 틀린 것은?,④,쇼크 초기에는 맥박 상승이 먼저 나타난다.,「119구급대원 현장응급처치 표준지침」 P.211,쇼크 초기에는 맥박 상승이 먼저 나타난다.
45,구급,119구급대원 현장응급처치 표준지침,호흡곤란 환자 설명으로 틀린 것은?,②,COPD 환자는 단계적으로 산소를 투여한다.,「119구급대원 현장응급처치 표준지침」 P.219~221,COPD 환자는 단계적으로 산소를 투여한다.
46,구급,119구급대원 현장응급처치 표준지침,기관내 삽관 또는 I-gel 삽입 적응증으로 틀린 것은?,①,삽관 적응증은 GCS 8점 이하이다.,「119구급대원 현장응급처치 표준지침」 P.469,삽관 적응증은 GCS 8점 이하이다.
47,구급,119구급대원 현장응급처치 표준지침,심폐정지 발생시간 기록으로 잘못된 것은?,②,확인 불가 시 미상으로 기록한다.,「119구급대원 현장응급처치 표준지침」 P.91,확인 불가 시 미상으로 기록한다.
48,구급,119구급대원 현장응급처치 표준지침,현장에서 소생술을 중단할 수 있는 상황은?,②,구급대원이 더 이상 소생술을 지속할 수 없을 때 중단 가능하다.,「119구급대원 현장응급처치 표준지침」 P.52,구급대원이 더 이상 소생술을 지속할 수 없을 때 중단 가능하다.
49,구급,119구급대원 현장응급처치 표준지침,구급활동일지 증상 기록 중 틀린 것은?,①,의식장애는 일시적 회복만으로 정의되지 않는다.,「119구급대원 현장응급처치 표준지침」 P.74~75,의식장애는 일시적 회복만으로 정의되지 않는다.
50,구급,119구급대원 현장응급처치 표준지침,척추 고정을 반드시 고려해야 하는 경우는?,④,의식 변화나 고위험 손상기전이 있으면 척추 고정이 필요하다.,「119구급대원 현장응급처치 표준지침」 P.500,의식 변화나 고위험 손상기전이 있으면 척추 고정이 필요하다.
51,구급,119구급대원 현장응급처치 표준지침,소아 호흡곤란 환자 평가로 옳은 것은?,③,소아는 흉곽 견축과 비익호흡이 호흡곤란의 중요한 징후이다.,「119구급대원 현장응급처치 표준지침」 P.294,소아는 흉곽 견축과 비익호흡이 호흡곤란의 중요한 징후이다.
52,구급,119구급대원 현장응급처치 표준지침,저혈당 환자 처치로 옳지 않은 것은?,②,의식 저하 시 경구 포도당 투여는 금기이다.,「119구급대원 현장응급처치 표준지침」 P.528,의식 저하 시 경구 포도당 투여는 금기이다.
53,구급,119구급대원 현장응급처치 표준지침,급성 중독 환자 초기 처치로 틀린 것은?,④,활성탄은 의식 저하 환자에게 단독 투여하지 않는다.,「119구급대원 현장응급처치 표준지침」 P.386,활성탄은 의식 저하 환자에게 단독 투여하지 않는다.
54,구급,119구급대원 현장응급처치 표준지침,뇌졸중 FAST 평가로 옳지 않은 것은?,①,"FAST는 얼굴, 팔, 언어, 시간 평가이다.",「119구급대원 현장응급처치 표준지침」 P.247,"FAST는 얼굴, 팔, 언어, 시간 평가이다."
55,구급,119구급대원 현장응급처치 표준지침,패혈증 의심 환자 이송 기준으로 옳은 것은?,④,저혈압 또는 의식 변화가 있으면 신속 이송 대상이다.,「119구급대원 현장응급처치 표준지침」 P.263,저혈압 또는 의식 변화가 있으면 신속 이송 대상이다.
56,구급,119구급대원 현장응급처치 표준지침,외상환자 산소 투여 기준으로 틀린 것은?,②,외상환자는 고농도 산소 투여가 원칙이다.,「119구급대원 현장응급처치 표준지침」 P.118,외상환자는 고농도 산소 투여가 원칙이다.
57,구급,119구급대원 현장응급처치 표준지침,기도폐쇄 환자 처치로 옳은 것은?,③,의식 소실 시 즉시 심폐소생술을 시행한다.,「119구급대원 현장응급처치 표준지침」 P.454,의식 소실 시 즉시 심폐소생술을 시행한다.
58,구급,119구급대원 현장응급처치 표준지침,임신 말기 산모의 체위로 옳은 것은?,②,좌측 측위는 대정맥 압박을 줄인다.,「119구급대원 현장응급처치 표준지침」 P.280,좌측 측위는 대정맥 압박을 줄인다.
59,구급,119구급대원 현장응급처치 표준지침,신생아 소생술 초기 평가로 틀린 것은?,④,체온 유지는 소생술의 중요한 요소이다.,「119구급대원 현장응급처치 표준지침」 P.288,체온 유지는 소생술의 중요한 요소이다.
60,구급,119구급대원 현장응급처치 표준지침,전기손상 환자 평가로 옳지 않은 것은?,①,외부 화상이 경미해도 내부 손상 가능성이 있다.,「119구급대원 현장응급처치 표준지침」 P.371,외부 화상이 경미해도 내부 손상 가능성이 있다.
61,구급,119구급대원 현장응급처치 표준지침,익수 환자 처치로 옳은 것은?,③,저체온 예방과 기도 관리가 중요하다.,「119구급대원 현장응급처치 표준지침」 P.377,저체온 예방과 기도 관리가 중요하다.
62,구급,119구급대원 현장응급처치 표준지침,고체온 환자 냉각 방법으로 옳지 않은 것은?,②,급속 냉각은 열사병에서 필요하다.,「119구급대원 현장응급처치 표준지침」 P.384,급속 냉각은 열사병에서 필요하다.
63,구급,119구급대원 현장응급처치 표준지침,독극물 노출 환자 평가로 옳은 것은?,④,현장 안전 확보가 최우선이다.,「119구급대원 현장응급처치 표준지침」 P.390,현장 안전 확보가 최우선이다.
64,구급,119구급대원 현장응급처치 표준지침,산소 포화도 측정 시 주의사항으로 틀린 것은?,①,말초순환 저하 시 측정 오차가 발생할 수 있다.,「119구급대원 현장응급처치 표준지침」 P.506,말초순환 저하 시 측정 오차가 발생할 수 있다.
65,구급,119구급대원 현장응급처치 표준지침,응급분만 시 탯줄 관리로 옳은 것은?,③,박동이 멈춘 후 결찰한다.,「119구급대원 현장응급처치 표준지침」 P.282,박동이 멈춘 후 결찰한다.
66,구급,119구급대원 현장응급처치 표준지침,경추 손상 의심 환자 이동으로 옳지 않은 것은?,②,축선 고정을 유지한 상태로 이동한다.,「119구급대원 현장응급처치 표준지침」 P.503,축선 고정을 유지한 상태로 이동한다.
67,구급,119구급대원 현장응급처치 표준지침,아동 학대 의심 징후로 틀린 것은?,④,설명과 일치하지 않는 손상은 의심 소견이다.,「119구급대원 현장응급처치 표준지침」 P.299,설명과 일치하지 않는 손상은 의심 소견이다.
68,구급,119구급대원 현장응급처치 표준지침,고혈압 응급 환자 처치로 옳은 것은?,③,급격한 혈압 저하는 피해야 한다.,「119구급대원 현장응급처치 표준지침」 P.240,급격한 혈압 저하는 피해야 한다.
69,구급,119구급대원 현장응급처치 표준지침,서맥 환자 초기 평가로 옳지 않은 것은?,①,증상 동반 여부가 치료 기준이다.,「119구급대원 현장응급처치 표준지침」 P.229,증상 동반 여부가 치료 기준이다.
70,구급,119구급대원 현장응급처치 표준지침,호흡기 감염 의심 환자 PPE 착용으로 옳은 것은?,④,비말 및 접촉 차단이 필요하다.,「119구급대원 현장응급처치 표준지침」 P.418,비말 및 접촉 차단이 필요하다.
71,구급,119구급대원 현장응급처치 표준지침,출혈 조절 방법으로 옳지 않은 것은?,②,직접 압박이 1차 선택이다.,「119구급대원 현장응급처치 표준지침」 P.338,직접 압박이 1차 선택이다.
72,구급,119구급대원 현장응급처치 표준지침,쇼크 환자 체온 관리로 옳은 것은?,③,저체온 예방이 중요하다.,「119구급대원 현장응급처치 표준지침」 P.216,저체온 예방이 중요하다.
73,구급,119구급대원 현장응급처치 표준지침,의식 수준 평가 AVPU 중 V의 의미는?,②,V는 음성 자극에 반응을 의미한다.,「119구급대원 현장응급처치 표준지침」 P.90,V는 음성 자극에 반응을 의미한다.
74,구급,119구급대원 현장응급처치 표준지침,심전도 모니터링 시 주의사항으로 틀린 것은?,①,전극 부착 전 피부 준비가 필요하다.,「119구급대원 현장응급처치 표준지침」 P.511,전극 부착 전 피부 준비가 필요하다.
75,구급,119구급대원 현장응급처치 표준지침,저체온 환자 가온 원칙으로 옳은 것은?,④,부드러운 취급이 필요하다.,「119구급대원 현장응급처치 표준지침」 P.381,부드러운 취급이 필요하다.
76,구급,119구급대원 현장응급처치 표준지침,기도 흡인 시 주의사항으로 옳지 않은 것은?,②,흡인은 10~15초 이내로 시행한다.,「119구급대원 현장응급처치 표준지침」 P.459,흡인은 10~15초 이내로 시행한다.
77,구급,119구급대원 현장응급처치 표준지침,아나필락시스 에피네프린 투여 경로로 옳은 것은?,③,대퇴 외측 근육 주사가 권장된다.,「119구급대원 현장응급처치 표준지침」 P.268,대퇴 외측 근육 주사가 권장된다.
78,구급,119구급대원 현장응급처치 표준지침,심정지 후 ROSC 환자 관리로 옳은 것은?,④,산소포화도 94~98% 유지가 목표이다.,「119구급대원 현장응급처치 표준지침」 P.92,산소포화도 94~98% 유지가 목표이다.
